producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Brahma (Cerveza),0,0,0,0,0,0,0,3.0,1.5,3.0,1.625,1.625,1.75,3.75,1.875,3.75,1.875,3.75,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.5833333333333333,4.75,2.5,5.25,6.0,3.0,6.0,6.0,6.0,6.5,3.25,6.5,3.25,3.5,3.625,7.5,3.75,7.5,4.0,8.0,2.6666666666666665,8.0,4.25,2.8333333333333335,8.5,2.5,5.0,5.0,5.0,10.0,5.0,5.25,3.5,5.25,10.5,11.5,12.0,6.0,12.0,4.0,6.0,13.0,13.0,6.5,13.0,5.0,7.5,8.5,7.5,2.5,8.5,16.0,16.0,18.0,18.0,18.0,3.0,9.0,10.0,10.0,10.0,10.0,0
Andes (Cerveza),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0,4.5,1.5,0,0,0,0,0,0,0,0,0,4.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,16.0,9.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budweiser (Cerveza),0,0,0,0,0,0,0,3.5,1.75,3.5,1.75,1.875,2.0,4.0,4.0,4.0,2.125,4.25,2.25,2.25,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2.875,5.75,1.4375,2.0,3.375,3.375,6.75,1.6875,6.75,7.5,7.5,7.5,3.75,8.5,2.8333333333333335,8.5,4.25,8.5,4.75,9.5,9.5,4.75,5.25,10.5,10.5,6.0,4.0,4.0,12.0,3.0,12.0,12.0,13.0,13.0,12.0,6.25,6.25,6.5,6.5,13.0,13.0,15.0,15.0,15.0,15.0,8.0,16.0,16.0,18.0,9.0,18.0,20.0,20.0,20.0,20.0,5.0,10.0,21.0,21.0,22.0,22.0,7.333333333333333,0
Cordoba (Cerveza),0,0,0,0,0,0,0,3.0,3.0,3.25,3.25,0.65,3.5,3.75,1.875,3.75,3.75,1.875,3.75,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,4.75,2.375,4.75,5.0,5.5,2.75,5.5,5.5,2.75,5.75,5.75,5.75,5.75,6.75,3.375,7.0,7.0,2.3333333333333335,3.75,3.75,7.5,7.5,8.5,8.5,8.5,9.5,9.5,4.75,9.5,9.5,9.5,2.375,5.0,10.0,5.0,5.25,5.25,11.0,11.0,11.0,5.5,13.0,13.0,6.5,6.0,6.5,6.5,13.0,14.0,7.0,7.0,15.0,15.0,15.0,8.5,17.0,8.5,18.0,18.0,9.0,10.0,20.0,0
Heineken (Cerveza),0,0,0,0,0,0,0,2.375,2.5,5.0,5.0,5.25,1.8333333333333333,5.5,6.0,6.0,6.25,3.125,6.25,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0,0,8.25,2.75,0.6875,4.25,4.75,3.1666666666666665,4.75,9.5,4.75,5.5,11.0,5.5,11.0,12.0,12.0,12.0,6.0,12.0,14.0,14.0,7.0,14.0,14.0,15.0,7.5,16.5,17.0,17.0,8.5,8.5,8.5,8.5,17.0,17.0,5.666666666666667,9.0,6.666666666666667,10.5,21.0,11.0,22.0,24.0,24.0,24.0,24.0,24.0,27.0,27.0,28.0,28.0,14.0,30.0,30.0,15.0,16.0,33.0,33.0,35.0,35.0,36.0,38.0,38.0,0
Isenbeck descartable,0,0,0,0,0,0,0,0,0,3.75,3.75,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,5.75,1.4375,0.23958333333333334,5.75,8.0,2.6666666666666665,8.0,8.0,8.0,8.75,8.75,8.75,0,0,0,0,0,9.5,9.5,9.5,10.0,10.0,10.0,5.0,10.0,3.3333333333333335,11.0,11.0,11.0,11.0,10.0,10.0,14.0,14.0,7.5,15.0,15.0,8.0,16.0,8.0,16.0,17.0,17.0,17.0,7.5,15.0,18.0,18.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,0
Quilmes LIEBER sin alcohol (Cerveza),0,0,0,0,0,0,0,3.9000000954,4.0,1.3333333333333333,4.0,1.4166666666666667,4.25,0,0,0,0,0,0,2.25,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125,6.5,6.5,0,7.5,7.5,7.5,6.5,6.75,6.75,6.75,6.75,8.0,8.0,8.0,4.0,8.0,9.0,9.0,9.0,2.25,10.0,5.0,10.0,2.5,10.0,10.0,0,10.5,10.5,5.75,11.5,5.75,5.75,6.25,13.0,13.0,4.333333333333333,4.5,13.5,0,0,0,0,14.0,17.0,19.0,18.0,9.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,10.0,20.0,22.0,11.5,23.0,0
Lata Brahma 354cc (Cerveza),0,0,0,0,0,0,0,1.375,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,0,0,0,0,0
Stella monjita (Cerveza),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,0,9.5,22.0,22.0,0,0,0,0,0,0,0,0,0,0
Quilmes (Cerveza),0,0,0,0,0,0,0,0.8125,1.625,1.75,1.1666666666666667,1.75,3.75,4.0,2.0,4.0,4.0,2.0,4.25,4.25,2.125,0,0,0,0,0,0,0,0,0,0,0,0,2.625,5.25,1.375,5.5,6.25,0.5208333333333334,1.5625,3.125,6.25,3.375,6.75,6.75,3.375,3.75,3.875,7.75,3.875,7.75,8.5,8.5,4.25,8.5,9.5,4.75,9.5,3.5,5.25,3.5,2.625,1.75,11.0,3.8333333333333335,0.9583333333333334,11.5,5.75,6.25,13.0,6.5,6.5,6.5,6.5,14.0,7.0,3.5,7.0,16.0,8.0,18.0,16.0,8.0,18.0,8.5,8.5,18.0,6.0,6.0,18.0,10.0,20.0,20.0,4.0,1.6666666666666667,0
