producto,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Champagne Sensacion,0,0,0,0,0,0,3.75,3.75,3.75,3.75,3.9000000954,3.9000000954,3.9000000954,3.0,0,3.0,3.0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,13.0,6.5,0,3.25,3.25,4.0,2.2857142857142856,8.0,16.0,8.0,16.0,16.0,17.0,2.8333333333333335,3.4,5.666666666666667,17.0,0,17.0,17.0,17.0,22.0,22.0,22.0,11.0,22.0,0,5.5,5.5,11.0,12.0,8.0,4.333333333333333,0,4.333333333333333,8.666666666666666,26.0,6.5,5.0,5.0,5.0,15.0,5.0,5.333333333333333,32.0,6.166666666666667,6.166666666666667,6.166666666666667,6.166666666666667,18.5,6.333333333333333,3.1666666666666665,6.333333333333333,6.333333333333333,6.333333333333333,38.0,7.6,6.333333333333333,6.333333333333333,6.666666666666667,0
Champagne Dada7 Bco y Rdo (Damajuana),0,0,0,0,0,0,17.0,18.5,18.5,18.5,18.5,18.5,18.5,19.0,19.0,19.0,19.0,0,20.0,0,21.0,21.0,22.0,22.0,0,22.0,23.0,23.0,23.5,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,52.0,0,52.0,0,0,0,0,0,52.0,0,0,0,0,50.0,30.0,60.0,60.0,65.0,65.0,65.0,0,0
Snob fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,6.0,12.0,14.0,14.0,0,14.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,10.0,10.0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frizze blanco,0,0,0,0,0,0,6.0,6.0,0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,7.0,7.0,7.0,0,2.5833333333333335,7.75,7.5,7.5,0,0,0,3.75,7.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,5.5,11.0,11.5,12.0,0,4.0,12.0,12.0,12.0,12.0,12.0,0,12.0,0,12.0,12.0,0,0,14.5,14.5,14.5,14.5,14.5,18.0,18.0,0,0,0,18.0,18.0,18.0,0,0,18.0,18.0,18.0,0,18.0,0,18.0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
New Age,0,0,0,0,0,0,11.75,12.0,12.0,12.0,12.0,13.0,6.5,0,13.0,13.5,13.5,13.5,6.75,13.5,13.5,6.75,13.5,15.0,15.0,15.0,15.0,15.0,8.0,16.0,17.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,21.0,11.0,22.0,22.0,22.0,22.0,22.0,0,0,22.0,25.0,12.5,0,25.0,0,0,28.0,14.0,28.0,0,28.0,0,0,28.0,28.0,9.333333333333334,28.0,28.0,28.0,28.0,0,0,0,28.0,28.0,28.0,0,28.0,14.0,0,32.0,32.0,32.0,32.0,0,0,34.0,34.0,35.0,39.0,0,39.0,0,44.0,44.0,44.0,0,44.0,44.0,0,0,0
O  (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champagne Chandon,0,0,0,0,0,0,0,0,23.0,23.0,7.666666666666667,4.166666666666667,12.5,0,0,25.0,9.333333333333334,30.0,30.0,33.0,33.0,35.0,17.5,36.0,18.0,36.0,38.0,20.0,40.0,40.0,40.0,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,45.0,45.0,22.5,45.0,46.0,46.0,46.0,50.0,50.0,50.0,50.0,55.0,55.0,55.0,55.0,0,60.0,60.0,0,60.0,10.0,10.833333333333334,0,0,66.0,33.0,66.0,33.0,0,66.0,66.0,25.0,80.0,0,0,0,26.666666666666668,40.0,0,0,0,90.0,90.0,95.0,47.5,96.0,96.0,96.0,108.0,108.0,108.0,108.0,110.0,55.0,110.0,115.0,125.0,125.0,128.0,128.0,128.0,0
Champagne Omnium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,22.5,22.5,0,0,0,0,22.5,0,0,0,0,19.0,19.0,0,0,0,0,0,0,0,0,0,0,15.0,30.0,30.0,15.0,0,15.0,0,0,0,30.0,0,31.0,31.0,15.5,0,0,0,0,0,0,0,6.833333333333333,0,50.0,50.0,50.0,50.0,50.0,50.0,0,50.0,50.0,0,0,27.5,0,0
Champagne Norton,0,0,0,0,0,0,0,0,0,0,15.0,0,15.0,0,0,0,0,0,0,0,0,0,0,19.0,0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,23.0,23.0,23.0,23.0,11.5,23.0,0,23.0,0,0,7.666666666666667,23.0,23.0,15.0,30.0,0,30.0,0,0,0,0,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,23.5,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champagne Chandon 187 cco,0,0,0,0,0,0,0,0,8.5,0,0,8.5,0,8.5,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,20.0,20.0,0,0,5.0,15.0,15.0,0,0,0,22.5,0,0,28.0,14.0,0,0,0,0,0,0,31.0,31.0,17.5,17.5,0,0
