producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Lata Coca linea (Cerveza),13,0,0,0,0,0,0,0,4.0,7.0,11.0,7.0,10.0,0,5.0,7.0,0,0,5.0,5.0,3.0,7.0,9.0,10.0,12.0,27.0,9.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,14.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,0,11.0,18.0,68.0,17.0,39.0,25.0,20.0,28.0,33.0,44.0,30.0,35.0,41.0,61.0,38.0,43.0,33.0,19.0,20.0,19.0,15.0,37.0,36.0,50.0,46.0,36.0,22.0,33.0,29.0,17.0,95.0,105.0,210.0,47.0,42.0,0
Coca 2250cc desc,118,0,0,0,0,0,0,136.0,114.0,147.0,145.0,107.0,188.0,173.0,97.0,139.0,94.0,146.0,137.0,124.0,142.0,40.0,2.0,4.0,101.0,136.0,90.0,134.0,126.0,200.0,131.0,186.0,133.0,40.0,0,0,0,0,0,0,1.0,0,0,0,0,0,30.0,144.0,277.0,151.0,60.0,182.0,220.0,117.0,218.0,196.0,180.0,155.0,194.0,271.0,369.0,228.0,63.0,184.0,192.0,164.0,135.0,186.0,202.0,179.0,174.0,190.0,291.0,249.0,201.0,212.0,147.0,185.0,240.0,240.0,258.0,201.0,246.0,243.0,371.0,227.0,169.0,142.0,150.0,200.0,143.0,177.0,173.0,177.0,184.0,153.0,257.0,198.0,98.0,172.0,192.0,123.0,97.0,63.0,4.0,66.0,140.0,22.0,0
Coca 2l ret (Coca 2l),119,0,0,0,0,0,0,837.0,770.0,795.0,914.0,1044.0,1207.0,923.0,580.0,856.0,734.0,762.0,636.0,694.0,758.0,592.0,614.0,649.0,876.0,747.0,497.0,742.0,596.0,664.0,523.0,601.0,705.0,166.0,0,0,0,0,0,0,13.0,0,0,0,0,0,65.0,644.0,850.0,846.0,370.0,796.0,773.0,584.0,572.0,750.0,721.0,878.0,786.0,859.0,1069.0,1107.0,356.0,928.0,831.0,827.0,839.0,758.0,719.0,886.0,873.0,979.0,1128.0,1029.0,741.0,819.0,600.0,603.0,708.0,658.0,718.0,701.0,922.0,837.0,1092.0,974.0,803.0,694.0,641.0,642.0,657.0,824.0,813.0,766.0,869.0,801.0,1039.0,891.0,459.0,749.0,960.0,785.0,892.0,847.0,883.0,915.0,872.0,133.0,0
Coca light 2l ret (Coca 2l),120,0,0,0,0,0,0,74.0,55.0,73.0,68.0,83.0,108.0,92.0,99.0,109.0,109.0,101.0,74.0,53.0,81.0,81.0,104.0,123.0,128.0,128.0,78.0,104.0,78.0,94.0,86.0,85.0,91.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,99.0,91.0,52.0,27.0,77.0,53.0,62.0,72.0,40.0,61.0,73.0,66.0,80.0,90.0,110.0,21.0,64.0,54.0,55.0,42.0,42.0,40.0,49.0,53.0,42.0,39.0,35.0,34.0,46.0,40.0,46.0,19.0,22.0,13.0,51.0,56.0,50.0,59.0,57.0,38.0,36.0,30.0,26.0,32.0,25.0,9.0,33.0,50.0,39.0,47.0,1.0,12.0,49.0,28.0,19.0,23.0,36.0,16.0,20.0,28.0,3.0,0
Coca 2500 cc ret GRANDE NUEVA,121,0,0,0,0,0,0,0,1.0,2.0,2.0,2.0,0,1.0,0,0,0,3.0,3.0,9.0,3.0,40.0,115.0,129.0,170.0,110.0,44.0,73.0,82.0,62.0,58.0,56.0,71.0,26.0,0,0,0,0,0,0,3.0,0,0,0,0,0,12.0,65.0,63.0,71.0,26.0,62.0,53.0,70.0,49.0,69.0,63.0,63.0,65.0,85.0,115.0,103.0,40.0,87.0,76.0,60.0,85.0,92.0,91.0,113.0,114.0,118.0,106.0,123.0,104.0,144.0,83.0,114.0,109.0,116.0,117.0,106.0,120.0,143.0,126.0,120.0,152.0,148.0,131.0,180.0,187.0,179.0,202.0,175.0,211.0,204.0,210.0,217.0,132.0,194.0,212.0,191.0,208.0,233.0,234.0,243.0,284.0,49.0,0
Coca 1500 c.c. desc,122,0,0,0,0,0,0,20.0,20.0,24.0,16.0,31.0,38.0,37.0,30.0,40.0,28.0,40.0,19.0,20.0,38.0,38.0,37.0,31.0,34.0,43.0,24.0,18.0,22.0,15.0,19.0,30.0,39.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,14.0,51.0,16.0,23.0,28.0,45.0,21.0,18.0,31.0,18.0,22.0,30.0,22.0,45.0,39.0,13.0,16.0,26.0,17.0,24.0,12.0,27.0,12.0,23.0,16.0,28.0,19.0,10.0,15.0,24.0,13.0,11.0,16.0,20.0,17.0,17.0,15.0,33.0,15.0,40.0,31.0,18.0,24.0,16.0,23.0,31.0,22.0,18.0,20.0,26.0,68.0,7.0,19.0,28.0,32.0,30.0,58.0,69.0,67.0,61.0,4.0,0
Coca vidrio (Coca 1 1/4 l),123,0,0,0,0,0,0,108.0,129.0,151.0,151.0,160.0,148.0,171.0,65.0,116.0,135.0,103.0,99.0,94.0,111.0,136.0,97.0,145.0,186.0,170.0,112.0,207.0,155.0,183.0,193.0,195.0,203.0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,178.0,253.0,218.0,139.0,211.0,180.0,126.0,128.0,189.0,215.0,218.0,265.0,255.0,372.0,344.0,130.0,276.0,154.0,204.0,191.0,133.0,117.0,171.0,130.0,211.0,171.0,193.0,96.0,179.0,77.0,92.0,78.0,109.0,78.0,94.0,92.0,77.0,79.0,120.0,102.0,114.0,82.0,78.0,84.0,135.0,103.0,99.0,105.0,110.0,141.0,154.0,79.0,121.0,151.0,189.0,158.0,235.0,321.0,148.0,124.0,30.0,0
Coca 500 c.c desc,124,0,0,0,0,0,0,7.0,7.0,13.0,13.0,11.0,14.0,7.0,17.0,12.0,9.0,5.0,10.0,9.0,13.0,17.0,15.0,7.0,20.0,18.0,15.0,32.0,8.0,5.0,5.0,12.0,9.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,17.0,25.0,14.0,24.0,15.0,11.0,7.0,12.0,21.0,26.0,17.0,22.0,29.0,23.0,10.0,24.0,19.0,13.0,48.0,16.0,11.0,16.0,10.0,29.0,49.0,14.0,34.0,21.0,13.0,12.0,6.0,17.0,13.0,13.0,6.0,19.0,25.0,22.0,22.0,32.0,12.0,14.0,11.0,69.0,22.0,9.0,33.0,11.0,18.0,64.0,14.0,28.0,16.0,21.0,13.0,61.0,169.0,243.0,246.0,39.0,0
Coca 1 lt,125,0,0,0,0,0,0,4.0,10.0,13.0,22.0,14.0,13.0,18.0,21.0,22.0,14.0,27.0,11.0,6.0,12.0,15.0,15.0,18.0,21.0,23.0,28.0,20.0,11.0,18.0,12.0,8.0,23.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,43.0,15.0,14.0,9.0,29.0,51.0,12.0,17.0,14.0,7.0,20.0,0,0,0,0,0,0,4.0,18.0,13.0,7.0,11.0,24.0,8.0,13.0,13.0,10.0,14.0,11.0,11.0,18.0,23.0,21.0,29.0,27.0,24.0,33.0,14.0,0,0,0,8.0,27.0,19.0,21.0,22.0,19.0,15.0,18.0,14.0,46.0,11.0,8.0,6.0,11.0,25.0,0,19.0,37.0,27.0,5.0,0
Coquitas,126,0,0,0,0,0,0,7.0,14.0,35.0,28.0,24.0,53.0,46.0,42.0,22.0,34.0,29.0,36.0,26.0,31.0,30.0,44.0,43.0,65.0,68.0,28.0,47.0,27.0,39.0,18.0,11.0,39.0,6.0,0,0,0,0,0,0,1.0,0,0,0,0,0,4.0,22.0,55.0,54.0,20.0,35.0,27.0,35.0,19.0,18.0,43.0,39.0,41.0,73.0,43.0,12.0,9.0,40.0,41.0,27.0,32.0,26.0,36.0,55.0,33.0,52.0,59.0,56.0,33.0,20.0,29.0,14.0,16.0,22.0,14.0,18.0,23.0,15.0,44.0,36.0,6.0,60.0,5.0,13.0,28.0,38.0,16.0,20.0,18.0,15.0,55.0,18.0,15.0,25.0,29.0,12.0,14.0,14.0,30.0,37.0,23.0,2.0,0
