producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
xx,64,0,0,0,0,0,0,9.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,4.0,0,0,6.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,2.0,2.0,11.0,6.0,0,0,0,0,0,0,0,0,0,13.0,3.0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,0
Cepita 200cc,140,0,0,0,0,0,0,1.0,4.0,1.0,4.0,4.0,0,0,6.0,1.0,3.0,7.0,0,2.0,4.0,5.0,2.0,4.0,3.0,0,0,2.0,10.0,11.0,11.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,19.0,37.0,29.0,6.0,18.0,13.0,24.0,12.0,16.0,4.0,2.0,2.0,0,10.0,27.0,0,18.0,6.0,19.0,15.0,6.0,10.0,7.0,12.0,16.0,5.0,17.0,9.0,14.0,32.0,7.0,0,19.0,11.0,11.0,6.0,6.0,5.0,5.0,25.0,4.0,9.0,8.0,4.0,6.0,6.0,11.0,11.0,0,5.0,5.0,0,2.0,7.0,6.0,2.0,10.0,5.0,6.0,11.0,1.0,0
Amargo Tres Torres,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,1.0,2.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,9.0,1.0,0,0,0,1.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powerade 500 cc,273,0,0,0,0,0,0,19.0,22.0,26.0,22.0,29.0,32.0,31.0,19.0,33.0,26.0,31.0,18.0,3.0,2.0,5.0,2.0,10.0,2.0,16.0,4.0,16.0,11.0,9.0,2.0,1.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,5.0,19.0,9.0,15.0,2.0,5.0,6.0,6.0,12.0,15.0,6.0,18.0,26.0,19.0,5.0,16.0,17.0,11.0,5.0,5.0,7.0,9.0,8.0,7.0,10.0,8.0,7.0,7.0,67.0,13.0,17.0,4.0,4.0,8.0,13.0,6.0,12.0,12.0,5.0,8.0,4.0,7.0,2.0,2.0,0,9.0,4.0,6.0,0,6.0,5.0,5.0,5.0,6.0,2.0,3.0,7.0,9.0,3.0,1.0,0
Jugo Monasterio 1 1/2 l,292,0,0,0,0,0,0,9.0,19.0,16.0,15.0,30.0,47.0,30.0,23.0,18.0,28.0,23.0,12.0,17.0,15.0,16.0,20.0,25.0,28.0,19.0,13.0,20.0,22.0,13.0,13.0,9.0,11.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,10.0,16.0,18.0,10.0,17.0,16.0,9.0,4.0,8.0,7.0,13.0,10.0,14.0,21.0,28.0,10.0,17.0,14.0,11.0,6.0,13.0,8.0,8.0,2.0,10.0,24.0,15.0,8.0,15.0,14.0,17.0,8.0,14.0,15.0,12.0,13.0,11.0,23.0,15.0,15.0,19.0,5.0,7.0,6.0,6.0,3.0,10.0,9.0,11.0,16.0,17.0,7.0,10.0,6.0,3.0,7.0,5.0,6.0,6.0,5.0,1.0,0
Jugo Monasterio bidon,293,0,0,0,0,0,0,46.0,53.0,41.0,51.0,53.0,65.0,56.0,28.0,49.0,49.0,41.0,40.0,42.0,38.0,32.0,37.0,40.0,41.0,51.0,31.0,35.0,30.0,22.0,16.0,23.0,25.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,19.0,25.0,22.0,18.0,21.0,17.0,9.0,12.0,13.0,14.0,15.0,11.0,21.0,27.0,28.0,9.0,18.0,12.0,18.0,12.0,15.0,17.0,18.0,15.0,16.0,23.0,18.0,11.0,18.0,8.0,6.0,8.0,2.0,7.0,7.0,10.0,11.0,14.0,12.0,6.0,9.0,6.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,8.0,3.0,4.0,0,4.0,3.0,2.0,7.0,7.0,6.0,0,0
Jugo Naranpol 1 1/2 l,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baggio Fresh y Light 1lt,296,0,0,0,0,0,0,0,5.0,0,0,1.0,10.0,12.0,13.0,29.0,26.0,27.0,15.0,24.0,24.0,26.0,11.0,9.0,9.0,6.0,0,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,2.0,0,0,4.0,0,0,0,0,7.0,3.0,2.0,7.0,0,0,0
Jugo Saldan,298,0,0,0,0,0,0,8.0,10.0,7.0,5.0,17.0,22.0,28.0,4.0,16.0,10.0,8.0,9.0,26.0,10.0,11.0,18.0,17.0,10.0,16.0,4.0,14.0,27.0,15.0,8.0,13.0,14.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,20.0,13.0,8.0,18.0,13.0,15.0,16.0,13.0,13.0,21.0,11.0,12.0,24.0,19.0,9.0,13.0,19.0,14.0,15.0,8.0,15.0,18.0,13.0,21.0,27.0,29.0,19.0,20.0,15.0,20.0,7.0,11.0,17.0,23.0,35.0,40.0,36.0,17.0,23.0,21.0,15.0,13.0,11.0,12.0,21.0,19.0,21.0,28.0,27.0,29.0,7.0,16.0,18.0,15.0,18.0,25.0,16.0,14.0,23.0,9.0,0
Clight,299,0,0,0,0,0,0,53.0,64.0,47.0,58.0,102.0,67.0,111.0,96.0,87.0,53.0,42.0,27.0,31.0,21.0,36.0,91.0,135.0,82.0,88.0,114.0,103.0,32.0,33.0,33.0,24.0,34.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,116.0,158.0,149.0,127.0,122.0,131.0,128.0,76.0,113.0,79.0,118.0,94.0,117.0,107.0,138.0,43.0,111.0,84.0,64.0,60.0,50.0,82.0,82.0,85.0,111.0,124.0,137.0,129.0,89.0,83.0,78.0,69.0,53.0,71.0,67.0,85.0,87.0,104.0,106.0,85.0,74.0,72.0,74.0,97.0,67.0,100.0,86.0,179.0,159.0,208.0,250.0,82.0,179.0,142.0,96.0,89.0,70.0,128.0,121.0,141.0,16.0,0
Tang,300,0,0,0,0,0,0,86.0,139.0,117.0,250.0,233.0,290.0,233.0,107.0,142.0,121.0,133.0,93.0,97.0,121.0,118.0,137.0,148.0,202.0,211.0,108.0,149.0,146.0,166.0,95.0,188.0,272.0,37.0,0,0,0,0,0,0,2.0,0,0,0,0,0,49.0,475.0,447.0,510.0,216.0,492.0,519.0,377.0,294.0,323.0,358.0,303.0,436.0,589.0,552.0,507.0,149.0,332.0,261.0,260.0,266.0,168.0,303.0,344.0,345.0,339.0,457.0,298.0,276.0,237.0,210.0,213.0,174.0,258.0,375.0,245.0,389.0,286.0,362.0,420.0,297.0,319.0,186.0,280.0,230.0,281.0,273.0,181.0,272.0,181.0,179.0,243.0,120.0,278.0,164.0,231.0,136.0,216.0,166.0,158.0,160.0,34.0,0
Ades 200cc,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,3.0,5.0,0,0,0,0,0
