producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Granadina Cusenier (Cerveza),0,0,0,0,0,0,0,0,0,0,0,0,0,2.7999999523,0,0,2.7999999523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39999997615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39999997615,2.7999999523,2.7999999523,0,0,0,0,0,17.0,17.0,0,17.0,0,0,0,0,0,0,0,0,17.0,0,0,15.0,30.0,30.0,0,0,0,0,30.0,30.0,30.0,30.0,35.0,35.0,17.5,0,35.0,0,0,0,43.0,43.0,0,0
Bolsa Regalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06361111005277778,0.3816666603166667,0,0,0,0.22899999619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2899999619,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,6.5,6.5,7.0,7.0,7.0,7.0,7.5,7.5,7.5,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,0
Encendedor Elect Marlboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,12.5,25.0,25.0,0,25.0,2.5,2.5,2.5,2.5,0,0,0,0,0,0,10.0,12.0,0,6.0,0,0,0,0,0,0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,8.0,8.0,8.0,0,0,0,0
Pulpa Bahia,0,0,0,0,0,0,0,4.5,1.125,1.5666666031,1.5666666031,4.6999998093,5.0,1.6666666666666667,1.6666666666666667,1.75,5.25,5.25,5.25,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,7.0,2.3333333333333335,3.75,7.5,7.5,0,7.5,0,0,0,7.75,0,0,4.125,0,2.5,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0,0,40.0,40.0,40.0,0,0
M Force Multi O Preserbativo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaso Tom y Jerry,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,12.0,12.0,0,0
Energy X4 energizante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,53.0,0,0,0,0,0,0,1.6666666666666667,0.8333333333333334,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,12.0,3.0,0,0,0,12.0,0
Fosforos Fragata-Rodeo ($1 para vueltos),0,0,0,0,0,0,0,0.25,0.125,0.25,0.25,0.08333333333333333,0.25,0.25,0.25,0.125,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1.0,1.0,1.0,0,1.0,0,1.0,0,1.0,1.0,1.0,1.5,1.5,1.5,0
Encendedor BX7,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,1.0,2.0,2.0,2.0,1.25,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,0,0
Leña 10 kg,0,0,0,0,0,0,0,6.0,6.0,3.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,2.6666666666666665,8.0,0,8.0,8.0,5.25,10.5,5.25,10.5,10.5,10.5,10.5,11.0,11.0,11.0,11.5,3.8333333333333335,11.5,12.0,13.0,13.0,13.0,13.0,13.0,4.333333333333333,3.25,13.0,13.0,4.833333333333333,14.5,15.0,15.0,15.0,15.0,7.5,15.0,16.0,18.0,9.0,10.0,20.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,11.5,12.0,25.0,28.0,28.0,28.0,28.0,30.0,15.0,30.0,30.0,30.0,0
