producto,id,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Tarjetas CTI $20 Claro,574,0,0,0,0,0,0,63.0,62.0,55.0,75.0,60.0,115.0,119.0,77.0,80.0,85.0,81.0,98.0,83.0,102.0,85.0,95.0,99.0,96.0,96.0,64.0,104.0,65.0,76.0,105.0,158.0,164.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,90.0,97.0,105.0,53.0,85.0,102.0,103.0,87.0,143.0,127.0,111.0,121.0,128.0,106.0,129.0,43.0,93.0,89.0,129.0,130.0,96.0,70.0,66.0,74.0,90.0,111.0,129.0,95.0,73.0,0,0,0,1.0,11.0,0,16.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
Tarjeta Global $10,575,0,0,0,0,0,0,7.0,5.0,1.0,2.0,4.0,4.0,1.0,0,3.0,0,0,1.0,1.0,3.0,5.0,2.0,0,1.0,0,0,0,1.0,4.0,1.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,3.0,0,0,0,0,1.0,0,0,1.0,0,0,0,1.0,0,5.0,2.0,1.0,4.0,1.0,3.0,0,0,0,7.0,6.0,0,3.0,2.0,0,3.0,5.0,0,2.0,3.0,1.0,2.0,2.0,0,0,0,2.0,1.0,0,1.0,2.0,0,3.0,3.0,1.0,0,0,0,3.0,1.0,0,0,2.0,4.0,0,0
Tarjeta Telecom Recarga $10,576,0,0,0,0,0,0,7.0,12.0,8.0,8.0,9.0,10.0,15.0,5.0,10.0,10.0,12.0,9.0,13.0,7.0,6.0,13.0,13.0,4.0,12.0,5.0,8.0,9.0,8.0,8.0,10.0,10.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,11.0,6.0,6.0,5.0,5.0,10.0,10.0,2.0,4.0,6.0,7.0,9.0,7.0,8.0,4.0,12.0,6.0,8.0,10.0,12.0,9.0,8.0,7.0,7.0,7.0,7.0,3.0,6.0,3.0,8.0,4.0,8.0,4.0,3.0,11.0,4.0,6.0,6.0,2.0,5.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
Telemundo tarjeta $5,603,0,0,0,0,0,0,7.0,15.0,8.0,8.0,8.0,6.0,0,0,12.0,17.0,16.0,8.0,3.0,7.0,9.0,12.0,2.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarjetas movistar $20,604,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,9.0,6.0,8.0,6.0,3.0,8.0,11.0,10.0,10.0,6.0,11.0,12.0,15.0,8.0,12.0,7.0,11.0,10.0,18.0,12.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,13.0,18.0,13.0,8.0,19.0,8.0,15.0,11.0,14.0,15.0,17.0,12.0,7.0,7.0,16.0,3.0,4.0,6.0,9.0,4.0,9.0,2.0,5.0,7.0,7.0,6.0,6.0,5.0,7.0,5.0,4.0,9.0,5.0,2.0,7.0,3.0,4.0,4.0,8.0,4.0,11.0,6.0,6.0,9.0,5.0,7.0,4.0,2.0,5.0,9.0,7.0,7.0,8.0,2.0,2.0,0,1.0,6.0,4.0,3.0,0,0
Tarjetas Movistar $50,621,0,0,0,0,0,0,0,0,0,0,0,6.0,7.0,8.0,6.0,6.0,3.0,5.0,12.0,6.0,11.0,8.0,10.0,10.0,8.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
Chip Personal,622,0,0,0,0,0,0,8.0,7.0,4.0,4.0,3.0,7.0,3.0,7.0,5.0,6.0,5.0,7.0,14.0,7.0,12.0,12.0,12.0,15.0,15.0,11.0,9.0,12.0,13.0,13.0,27.0,22.0,5.0,0,0,0,0,0,0,1.0,0,0,0,0,0,4.0,38.0,24.0,36.0,26.0,39.0,31.0,23.0,8.0,19.0,21.0,24.0,24.0,17.0,28.0,35.0,7.0,17.0,16.0,20.0,23.0,17.0,30.0,18.0,30.0,19.0,22.0,53.0,32.0,48.0,12.0,12.0,39.0,38.0,28.0,18.0,12.0,7.0,17.0,7.0,11.0,6.0,15.0,0,0,0,2.0,14.0,8.0,5.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
Tarjetas Personal $30,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,7.0,19.0,10.0,3.0,3.0,0,1.0,1.0,3.0,2.0,7.0,5.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,8.0,28.0,20.0,12.0,10.0,10.0,10.0,6.0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,20.0,0,6.0,14.0,1.0,22.0,21.0,0,0,0,18.0,19.0,17.0,15.0,11.0,11.0,16.0,16.0,19.0,6.0,17.0,1.0,0,16.0,1.0,7.0,7.0,17.0,4.0,0
Tarjetas Movistar $30,665,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,2.0,2.0,3.0,1.0,6.0,12.0,5.0,12.0,11.0,9.0,8.0,8.0,11.0,6.0,11.0,18.0,14.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12.0,14.0,17.0,11.0,11.0,16.0,7.0,8.0,12.0,6.0,9.0,9.0,6.0,13.0,8.0,5.0,8.0,9.0,11.0,4.0,9.0,4.0,3.0,11.0,12.0,10.0,10.0,9.0,14.0,6.0,10.0,4.0,10.0,8.0,10.0,5.0,9.0,9.0,12.0,10.0,13.0,15.0,9.0,11.0,9.0,9.0,8.0,13.0,6.0,4.0,8.0,7.0,6.0,4.0,9.0,5.0,1.0,6.0,7.0,1.0,1.0,0
Tarjeta Telecom Recarga $30,686,0,0,0,0,0,0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0,1.0,1.0,2.0,3.0,4.0,0,3.0,3.0,2.0,5.0,6.0,1.0,4.0,6.0,5.0,3.0,7.0,9.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,3.0,3.0,4.0,0,1.0,2.0,6.0,1.0,0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,0,4.0,7.0,5.0,5.0,3.0,6.0,3.0,0,4.0,5.0,1.0,1.0,2.0,0,3.0,0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,6.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,0
