producto,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Trapiche rosado,0,0,0,0,0,0,0,0,0,0.016666666899999998,0.01000000014,0.00500000007,0.01000000014,0.00500000007,0,0.0033333333799999997,0.01000000014,0.00500000007,0.0038461539,0.002500000035,0.001000000014,0,0,0,0,0,0,0,0,0,0,0,0,0.01000000014,0.0033333333799999997,0.002500000035,0.0012500000175,0.002500000035,0.002000000028,0.005000000075,0.004166666729166667,0.011111111277777778,0.00400000006,0,0.01000000015,0.008333333458333333,0.01000000015,0.0125000001875,0.01000000015,0.01000000015,0.03333333383333333,20.0,20.0,0,20.0,0,0,0,0,0,0,29.0,0,0,0,30.0,30.0,30.0,0,25.0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavas de Santino magnum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,10.5,10.5,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0,0,0,0,0,0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,25.0,0
Los Quiroga chico,0,0,0,0,0,0,0,3.5,3.5,3.5,3.5,1.75,3.5,3.5,3.5,3.5,3.5,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,10.5,10.5,10.5,0,11.5,11.5,1.9166666666666667,11.5,11.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,40.0,40.0,0,40.0,49.0,0,0,0,0,0
Suc. Abel Michel Torino ABOCADO (Damajuana),0,0,0,0,0,0,0,18.0,18.0,18.5,19.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,23.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,7.25,7.25,7.25,3.625,7.25,3.625,0,1.8125,0.6041666666666666,0,7.5,1.25,7.5,7.5,7.5,0,7.5,0,9.0,9.0,0,0,9.0,0,9.5,9.5,0,9.5,10.0,10.0,0,10.0,0,11.5,11.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esperado bco (Damajuana),0,0,0,0,0,0,0,20.0,21.0,21.0,0,0,22.0,22.0,23.0,23.0,23.0,25.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,10.0,10.0,10.0,5.5,5.5,0,0,0,45.0,45.0,45.0,0,0,0,0
Bousquet Domaine (Damajuana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,50.0,50.0,0,0
Viejo Viñedo (Damajuana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esperado tto (Damajuana),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,3.6666666666666665,11.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,16.0,0,40.0,40.0,0,0,0,0,45.0,45.0,45.0,0,45.0,45.0,22.5,45.0,0
xxxxxx (Damajuana),0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,36.0,0,0,0,0,35.0,38.0,38.0,0,0,0,0,30.0,30.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0
