dia,ventas
2007-07-14,1.0
2007-08-01,1.0
2007-08-14,1.0
2007-08-15,1.0
2007-08-18,1.0
2007-08-19,1.0
2007-08-20,1.0
2007-08-21,1.0
2007-08-22,1.0
2007-08-25,3.0
2007-08-27,1.0
2007-08-28,2.0
2007-08-29,1.0
2007-08-30,1.0
2007-08-31,1.0
2007-09-01,1.0
2007-09-02,1.0
2007-09-04,1.0
2007-09-06,1.0
2007-09-07,1.0
2007-09-10,1.0
2007-09-11,1.0
2007-09-14,1.0
2007-09-16,1.0
2007-09-19,1.0
2007-09-21,1.0
2007-09-29,1.0
2007-10-04,1.0
2007-10-11,1.0
2007-10-21,1.0
2007-10-22,2.0
2007-10-29,2.0
2007-11-17,1.0
2007-11-18,1.0
2007-11-19,3.0
2007-11-20,1.0
2007-11-26,2.0
2007-11-27,2.0
2007-12-02,2.0
2007-12-03,1.0
2007-12-04,1.0
2007-12-10,1.0
2007-12-13,1.0
2007-12-14,1.0
2007-12-16,1.0
2007-12-17,1.0
2007-12-18,1.0
2007-12-19,1.0
2007-12-27,1.0
2007-12-28,2.0
2007-12-29,1.0
2007-12-30,1.0
2008-01-07,2.0
2008-01-09,1.0
2008-01-10,1.0
2008-01-11,1.0
2008-01-12,1.0
2008-01-13,1.0
2008-01-14,2.0
2008-01-17,2.0
2008-01-19,1.0
2008-01-20,2.0
2008-01-21,2.0
2008-01-22,2.0
2008-01-23,2.0
2008-01-26,1.0
2008-01-27,2.0
2008-01-28,3.0
2008-01-29,1.0
2008-02-02,2.0
2008-02-03,2.0
2008-02-10,1.0
2008-02-15,1.0
2008-02-16,1.0
2008-02-17,1.0
2008-02-18,1.0
2008-02-19,1.0
2008-02-20,1.0
2008-02-23,2.0
2008-02-24,1.0
2008-02-25,1.0
2008-02-27,1.0
2008-02-28,1.0
2008-03-03,1.0
2008-03-04,1.0
2008-03-06,2.0
2008-03-11,1.0
2008-03-12,1.0
2008-03-13,2.0
2008-03-14,1.0
2008-03-15,1.0
2008-03-16,1.0
2008-03-17,1.0
2008-03-19,1.0
2008-03-21,1.0
2008-03-22,1.0
2008-03-23,2.0
2008-03-25,1.0
2008-03-26,1.0
2008-03-28,1.0
2008-03-29,1.0
2008-04-02,1.0
2008-04-05,1.0
2008-04-07,1.0
2008-04-08,1.0
2008-04-11,1.0
2008-04-14,1.0
2008-04-21,1.0
2008-04-25,1.0
2008-04-28,1.0
2008-04-30,2.0
2008-05-01,1.0
2008-05-02,1.0
2008-05-03,1.0
2008-05-08,1.0
2008-05-09,2.0
2008-05-16,2.0
2008-05-19,1.0
2008-05-21,1.0
2008-05-22,1.0
2008-05-23,1.0
2008-05-27,1.0
2008-05-31,1.0
2008-06-02,1.0
2008-06-03,1.0
2008-06-08,1.0
2008-06-09,2.0
2008-06-15,1.0
2008-06-16,1.0
2008-07-04,1.0
2008-07-08,1.0
2008-07-22,2.0
2008-07-26,1.0
2008-08-09,1.0
2008-08-23,1.0
2008-08-24,1.0
2008-09-10,2.0
2008-09-12,1.0
2008-09-19,1.0
2008-09-22,1.0
2008-10-08,1.0
2008-10-28,1.0
2008-11-01,1.0
2008-11-03,1.0
2008-11-06,1.0
2008-11-09,2.0
2008-11-14,2.0
2008-11-20,1.0
2008-12-05,2.0
2008-12-07,1.0
2008-12-10,1.0
2008-12-11,1.0
2008-12-15,1.0
2008-12-20,2.0
2008-12-22,1.0
2008-12-24,2.0
2008-12-27,1.0
2009-01-14,1.0
2009-01-25,2.0
2009-01-26,1.0
2009-02-02,2.0
2009-02-06,1.0
2009-02-09,1.0
2009-02-13,1.0
2009-02-24,1.0
2009-02-26,1.0
2009-02-28,1.0
2009-03-07,1.0
2009-03-24,1.0
2009-03-25,1.0
2009-03-30,1.0
2009-04-03,2.0
2009-04-05,1.0
2009-04-09,1.0
2009-04-25,1.0
2009-05-09,1.0
2009-05-11,1.0
2009-07-02,1.0
2009-07-11,1.0
2009-07-12,1.0
2009-07-13,2.0
2009-07-16,1.0
2009-08-17,1.0
2009-08-21,1.0
2009-08-28,1.0
2010-11-06,1.0
2010-11-12,1.0
2010-11-13,2.0
2010-11-14,1.0
2010-11-15,1.0
2010-11-26,4.0
2010-12-02,1.0
2010-12-04,2.0
2010-12-15,1.0
2010-12-22,2.0
2011-01-16,2.0
2011-01-29,2.0
2011-03-14,1.0
2011-03-21,1.0
2011-03-25,1.0
2011-04-27,2.0
2011-05-05,1.0
2011-05-19,1.0
2011-08-12,1.0
2011-09-30,1.0
2011-10-10,1.0
2011-12-09,1.0
2011-12-16,1.0
2011-12-30,1.0
2012-01-06,2.0
2012-02-03,1.0
2012-04-20,1.0
2012-04-26,1.0
2012-04-27,1.0
2012-06-01,1.0
2012-08-24,1.0
2012-09-07,1.0
2012-09-23,10.0
2012-09-28,1.0
