fecha,precio,cantidad
15/07/2007,1.0,1.0
21/07/2007,1.0,1.0
14/08/2007,1.0,1.0
10/09/2007,1.25,1.0
27/09/2007,1.25,1.0
03/10/2007,1.25,1.0
22/10/2007,1.25,1.0
26/10/2007,1.25,1.0
12/11/2007,1.25,1.0
17/11/2007,1.25,1.0
20/11/2007,1.25,1.0
23/11/2007,1.25,1.0
25/11/2007,1.25,1.0
27/11/2007,1.25,1.0
03/12/2007,1.25,1.0
04/12/2007,1.25,1.0
06/12/2007,1.25,1.0
15/12/2007,1.25,1.0
19/12/2007,1.25,1.0
19/12/2007,1.25,1.0
24/12/2007,1.25,1.0
31/12/2007,1.25,1.0
31/12/2007,1.25,1.0
01/01/2008,1.25,1.0
08/01/2008,1.25,1.0
09/01/2008,1.25,1.0
20/01/2008,1.25,1.0
03/02/2008,1.25,1.0
08/02/2008,1.25,1.0
15/02/2008,1.25,1.0
08/03/2008,1.25,1.0
09/03/2008,1.25,1.0
17/03/2008,1.25,1.0
07/04/2008,1.25,1.0
19/04/2008,1.25,1.0
20/04/2008,1.25,1.0
21/04/2008,1.25,1.0
22/04/2008,1.25,1.0
07/05/2008,1.25,1.0
20/05/2008,1.25,1.0
03/06/2008,1.25,1.0
16/06/2008,1.25,1.0
27/06/2008,1.25,1.0
02/07/2008,1.25,1.0
15/07/2008,1.25,1.0
24/07/2008,1.25,1.0
08/08/2008,1.25,1.0
12/10/2008,1.25,1.0
02/05/2015,10.0,1.0
09/05/2015,10.0,2.0
12/05/2015,10.0,1.0
05/07/2015,10.0,1.0
